8/14/2018,373
3/26/2021,930
5/19/2021,859
9/30/2021,863
9/3/2021,817
3/7/2020,893
7/25/2019,956
1/25/2021,910
6/2/2020,290
6/21/2020,243
7/6/2019,387
5/1/2018,368
12/22/2020,25
5/26/2021,221
8/15/2020,128
12/25/2021,235
1/19/2021,818
8/18/2020,779
2/26/2019,967
11/5/2019,28
12/25/2020,341
10/19/2019,137
5/17/2018,390
7/22/2020,908
3/18/2019,696
7/10/2020,38
9/19/2021,723
5/27/2021,198
3/6/2019,438
3/1/2018,904
5/11/2018,1
11/19/2020,427
12/15/2019,613
10/29/2019,748
2/3/2020,706
10/16/2019,331
3/13/2018,932
7/16/2021,218
11/2/2019,835
12/31/2018,464
3/6/2020,117
1/15/2020,723
9/4/2021,287
2/8/2019,350
9/9/2021,111
12/28/2019,860
11/12/2018,198
10/3/2019,519
5/4/2018,920
12/13/2018,314
11/17/2018,308
2/1/2019,530
4/19/2019,820
2/26/2021,503
7/18/2021,49
1/26/2020,911
1/18/2020,803
2/17/2020,608
11/4/2018,376
5/17/2019,458
4/24/2020,296
1/19/2019,848
6/15/2018,159
6/18/2019,971
2/15/2021,991
12/20/2018,227
7/12/2018,590
9/29/2018,907
2/26/2020,184
5/21/2018,548
11/9/2020,854
2/12/2020,252
7/4/2021,851
11/20/2020,946
2/7/2021,967
6/23/2019,625
6/30/2020,572
4/22/2021,410
10/1/2019,948
6/19/2021,901
1/18/2019,276
11/16/2021,543
10/22/2020,497
8/30/2021,104
7/30/2018,463
5/10/2019,657
2/8/2021,101
4/25/2019,411
7/29/2019,813
5/31/2020,620
7/8/2018,806
5/5/2021,783
5/7/2018,268
1/27/2018,471
4/29/2021,600
11/26/2019,78
11/10/2018,773
5/14/2020,352
3/14/2018,467
8/31/2020,452
12/24/2019,910
4/6/2018,807
10/16/2019,947
10/25/2018,254
2/18/2018,903
6/4/2018,18
12/23/2018,569
2/25/2021,300
5/12/2021,176
9/19/2018,568
7/8/2019,604
11/15/2020,47
6/10/2018,515
8/12/2020,839
9/27/2021,801
11/19/2019,19
3/19/2021,487
6/10/2018,339
11/18/2020,87
5/26/2019,26
3/1/2018,905
11/27/2020,822
2/17/2019,24
4/18/2020,486
6/19/2018,410
6/2/2021,433
9/22/2019,954
8/6/2018,698
11/22/2018,602
12/1/2020,772
7/20/2020,174
10/29/2021,954
11/23/2018,172
3/13/2021,96
4/14/2021,75
12/17/2019,451
1/24/2018,742
3/7/2020,687
8/13/2020,146
8/11/2020,542
8/4/2019,717
4/3/2020,254
2/3/2018,4
11/8/2020,137
9/17/2020,971
6/19/2019,794
12/22/2021,543
1/8/2018,710
6/7/2021,362
9/19/2019,568
4/16/2020,594
9/17/2018,43
1/18/2021,386
8/20/2020,155
12/12/2021,521
11/6/2020,758
9/20/2018,493
8/23/2020,39
12/25/2021,111
10/21/2021,257
5/12/2021,43
8/20/2018,30
5/6/2021,409
2/12/2020,809
12/22/2018,825
7/13/2019,380
2/26/2021,430
2/11/2018,93
4/26/2018,764
2/21/2018,14
7/21/2021,231
1/12/2020,108
11/8/2018,36
9/18/2018,759
11/24/2021,37
1/7/2020,19
6/11/2021,31
1/25/2019,500
8/6/2021,135
8/7/2021,871
5/27/2019,951
7/18/2020,556
1/13/2018,255
4/22/2018,287
2/1/2020,680
6/24/2019,589
12/11/2020,815
1/30/2021,402
5/31/2021,37
11/11/2019,662
1/12/2021,724
11/6/2018,982
3/12/2020,633
8/13/2018,48
8/20/2020,53
11/15/2019,814
10/31/2021,657
3/31/2021,880
4/30/2019,957
1/22/2021,205
12/28/2018,997
1/18/2019,541
12/28/2020,736
10/20/2021,62
7/25/2019,68
7/4/2020,642
1/26/2018,332
11/20/2019,182
7/3/2020,760
1/18/2019,971
3/8/2018,525
10/29/2019,932
6/25/2020,17
10/27/2021,340
10/30/2019,288
11/9/2018,735
4/15/2018,303
6/15/2020,372
4/5/2021,881
11/25/2020,399
12/21/2021,82
3/19/2020,398
3/10/2018,920
9/16/2018,220
7/21/2021,309
3/27/2018,202
9/29/2021,933
8/2/2021,987
3/10/2019,748
8/3/2018,945
1/2/2021,513
5/3/2019,826
3/28/2018,797
3/21/2018,479
7/11/2018,650
5/4/2018,218
4/6/2020,740
6/2/2018,329
5/9/2018,300
4/28/2018,5
9/8/2020,364
10/18/2019,106
7/29/2020,498
2/5/2021,438
11/27/2020,748
10/15/2020,986
9/13/2021,899
12/22/2018,897
8/5/2018,204
4/1/2019,626
12/7/2019,659
1/9/2018,482
9/1/2021,867
5/20/2021,377
4/6/2019,229
10/5/2018,776
5/12/2019,759
8/9/2018,680
9/26/2021,567
10/20/2019,833
12/27/2019,690
11/6/2021,458
10/13/2019,67
5/22/2019,522
6/4/2018,854
1/18/2018,730
5/22/2020,455
1/7/2018,313
7/12/2020,765
3/29/2020,990
11/26/2020,440
1/19/2019,316
11/22/2021,338
2/8/2019,7
6/30/2020,518
10/3/2021,634
10/24/2019,36
7/20/2021,739
1/9/2019,289
5/24/2020,795
8/24/2019,156
8/25/2018,822
5/29/2019,535
8/23/2020,185
6/10/2018,833
3/19/2021,74
9/26/2021,819
6/24/2020,584
11/5/2020,9
4/23/2020,988
7/12/2021,988
11/14/2018,993
12/24/2019,836
10/30/2019,710
3/9/2020,171
5/9/2020,969
8/1/2018,815
1/31/2021,537
6/5/2018,195
8/3/2020,23
